Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,EV Connector Types
ELEC,Bottle Bargains,1033 Fort Salonga Rd,,Northport,NY,11768,,888-998-2546,E,,Public,24 hours daily,,,2,,,Blink Network,https://blinkcharging.com,GPS,40.908117,-73.315463,06/26/2025,148165,2025-06-26 00:05:03,,,,08/13/2018,J1772
ELEC,Liberty Street,105 Jay St,,Schenectady,NY,12305,,1-833-611-5965,E,,Public,24 hours daily,,,10,,,VIALYNK,https://www.lynkwell.com,GPS,42.814250,-73.938490,06/26/2025,189523,2025-06-26 02:48:22,,,,01/21/2021,J1772
ELEC,KEELER STATION 04,1077 Troy Schenectady Rd,,Latham,NY,12110,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.766866,-73.812303,06/25/2025,190452,2025-06-25 01:41:59,,,,05/31/2021,J1772
ELEC,SARATOGA CASINO STATION 3,342 Jefferson Street,,Saratoga Springs,NY,12866,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,43.062282,-73.776010,06/26/2025,190793,2025-06-26 01:16:53,,,,06/08/2021,J1772
ELEC,WHITE PLAINS EVSE4,1 Maple Ave,,White Plains,NY,10605,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,41.029174,-73.759362,06/25/2025,197207,2025-06-25 01:46:48,,,,10/07/2021,J1772
ELEC,831 3rd Ave,831 3rd Ave,,Brooklyn,NY,11232,,888-356-8911,E,,Public,24 hours daily,,,6,,,FLO,https://www.flo.com,GPS,40.656766,-74.004802,06/26/2025,199508,2025-06-26 02:13:45,,,,10/30/2021,J1772
ELEC,RRH STATION 3,7 Ambulance Dr,Far right unit,Clifton Springs,NY,14432,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.959347,-77.135350,06/25/2025,218483,2025-06-25 01:51:38,,,,05/19/2022,J1772
ELEC,QUICKLEES27 QUICKLEE'S/DCFC,204 Oak St,,Batavia,NY,14020,,888-758-4389,E,,Public,24 hours daily,,,,1,,ChargePoint Network,https://www.chargepoint.com,GPS,43.015040,-78.191616,06/25/2025,226899,2025-06-25 02:03:54,,,,09/02/2022,CHADEMO J1772COMBO
ELEC,Glendale Home,59 Hetcheltown Rd,,Schenectady,NY,12302,,1-833-611-5965,E,,Public,24 hours daily,,,4,,,VIALYNK,https://www.lynkwell.com,GPS,42.875250,-73.910080,06/26/2025,236642,2025-06-26 02:48:12,,,,10/15/2022,J1772
ELEC,HAMINIT EATON 2,13 Eaton St,,Hamilton,NY,13346,,888-758-4389,E,,Public,24 hours daily,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,42.826877,-75.546975,06/25/2025,314033,2025-06-25 02:18:54,,,,10/18/2023,J1772
ELEC,365 Bond,365 Bond St.,,Brooklyn,NY,11231,,1-888-222-6618,E,,Public,,,,6,,,NOODOE,https://www.noodoe.com,GPS,40.677677,-73.990321,06/26/2025,348971,2025-06-26 02:41:16,,,,06/21/2024,J1772
